stop_id,stop_name,stop_lat,stop_lon
7731,NW 36 ST & NW 19 AV,25.809555,-80.227839
7733,NW 36 ST & NW 22 AV,25.809442,-80.231789
7735,NW 36 ST & NW 24 AV,25.809312,-80.236555
7736,NW 36 ST & 27 AV,25.809201,-80.239936
286,NW 36 ST & 32 AV,25.80894,-80.247975
287,NW 36 ST & 33 AV,25.808857,-80.2502
587,NW 36 ST & EAST DR,25.808296,-80.272452
8507,NW 36 ST & SOUTH DR,25.808052,-80.279649
8508,NW 36 ST & # 5375,25.807931,-80.283571
288,NW 36 ST & 57 AV,25.807762,-80.287995
9390,NW 36 ST & NW 66 AV,25.807308,-80.302694
5255,NW 36 ST & # 7405,25.809505,-80.317513
1747,NW 79 AV & NW 36 ST,25.810081,-80.325216
1748,NW 79 AV & NW 41 ST,25.812333,-80.325279
1750,NW 79 AV & NW 48 ST,25.816663,-80.325402
1752,NW 79 AV & NW 52 ST,25.820363,-80.325513
750,NW 53 ST & 79 AV,25.82173,-80.326071
1806,NW 53 ST & # 8125,25.821724,-80.329456
1807,NW 53 ST & # 8325,25.82154,-80.332233
1808,NW 53 ST & NW 84 AV,25.819901,-80.334782
1784,NW 87 AV & NW 41 ST,25.812319,-80.337578
1785,NW 87 AV & NW 36 ST,25.808357,-80.337509
1787,NW 87 AV & NW 33 ST,25.804799,-80.3374
1788,NW 87 AV & NW 30 TE,25.80254,-80.337313
1789,NW 87 AV & NW 29 ST,25.800881,-80.337275
1790,NW 87 AV & 25 ST,25.797572,-80.337187
1832,NW 25 ST & NW 89 PL,25.796959,-80.342556
1834,NW 25 ST & NW 97 AV,25.79694,-80.352546
5045,NW 107 AV & NW 24 ST,25.795872,-80.369166
5046,NW 107 AV & NW 19 ST,25.791146,-80.369034
remix_71d8e6ad-b47b-48b3-a231-a1bfce4183a9,Untitled Stop,25.7898908306658,-80.3703093450436
remix_514d99cd-233b-4b8c-b512-0c78b83c7217,Untitled Stop,25.7898864428533,-80.3736304154278
remix_5753ed37-e64d-46de-ac89-c30b7a6469cf,Untitled Stop,25.7899201650719,-80.3769696097861
remix_eff37216-258a-4243-9376-044e62ced9ae,Untitled Stop,25.7904257559465,-80.3798240763748
remix_e4866ee2-0983-43ca-b0af-f0bc42405496,Untitled Stop,25.7891235275876,-80.3844026467846
remix_93608a6e-0946-4ddf-9e63-421d51e4e724,Untitled Stop,25.9307588458309,-80.2929925048169
remix_7377b02f-75e0-44cc-8123-fbd0ccdaf6d2,Untitled Stop,25.9232104648027,-80.2929248964061
remix_c2cca101-07bb-4296-af62-1cdb7f88281a,Untitled Stop,25.9164425889183,-80.2934860696916
490,NW 60 AV & MIAMI LAKES DR,25.909717,-80.299477
8312,NW 60 AV & # 14400,25.906052,-80.298688
8313,NW 60 AV & NW 142 ST,25.902483,-80.298301
remix_abe84b3e-4d59-403e-94d1-9ccc93e5081c,Untitled Stop,25.8980415065097,-80.2999614814016
remix_d9da2313-9c76-47f3-8ed4-059c20dfeb3a,Untitled Stop,25.8921515699025,-80.3003624445463
remix_f8e05859-87dc-40cc-99df-032583d36767,Untitled Stop,25.8845863660266,-80.2999125015951
remix_9051ab55-578f-4774-a2c9-3b62811d4688,Untitled Stop,25.884009677599,-80.2951158149369
2123,W 2 CT & # 6680,25.88322,-80.289299
2422,W 65 ST & W 2 AV,25.881274,-80.286656
2066,PALM AV & W 64 TE,25.880584,-80.283592
2069,PALM AV & W 58 ST,25.874562,-80.28338
2071,PALM AV & W 53 TE,25.871285,-80.283281
299,PALM AV & W 49 ST HIALEAH,25.867102,-80.283132
2074,PALM AV & # 4500 (APPROX),25.863175,-80.282991
remix_08d83d78-4846-4d3e-8a75-28c7fc405554,Untitled Stop,25.8597025359472,-80.2825776199665
2078,PALM AV & W 37 ST,25.855608,-80.282711
2080,PALM AV & W 32 ST,25.850931,-80.282533
2325,E 21 ST & E 3 AV,25.840914,-80.275802
2082,PALM AV & W 28 ST,25.847611,-80.282406
2084,PALM AV & W 23 ST,25.843086,-80.282214
220,HIALEAH METRORAIL STATION,25.84128,-80.279052
2050,E 4 AV & E 17 ST,25.837217,-80.27394
2048,E 4 AV & E 20 ST,25.840256,-80.274064
